aspectRatio, extent, solidity, hu0, hu1, hu2, class
3.857999,0.328283,0.488290,1.078165,1.052954,0.076455,wrench
4.206554,0.595725,0.863268,0.513803,0.226635,0.046999,spatula
8.682531,0.782841,0.896709,0.889939,0.763280,0.013237,pen
3.111328,0.539459,0.649684,0.572932,0.259552,0.102464,shovel
1.835605,0.184438,0.321294,0.972515,0.464400,1.420774,tbar
1.773931,0.172216,0.307231,0.881298,0.284889,1.431897,tbar
2.969392,0.526454,0.649224,0.546120,0.228452,0.106142,shovel
8.615384,0.795967,0.899701,0.866294,0.721760,0.012349,pen
4.181563,0.586718,0.844357,0.517549,0.230342,0.048168,spatula
4.302232,0.309621,0.440813,1.299670,1.553538,0.117421,wrench
4.596708,0.299479,0.433617,1.457806,1.969680,0.116022,wrench
4.718258,0.590099,0.872659,0.538239,0.251620,0.053464,spatula
8.694314,0.800309,0.924936,0.876462,0.739350,0.021521,pen
3.350904,0.535372,0.650864,0.594414,0.287181,0.099611,shovel
1.818988,0.166503,0.298114,0.977075,0.374150,1.804337,tbar
1.791796,0.168040,0.303701,0.850314,0.225124,1.386217,tbar
2.962095,0.529254,0.653370,0.541250,0.223667,0.101846,shovel
7.895582,0.808450,0.916049,0.768174,0.561680,0.008859,pen
4.566403,0.580706,0.863121,0.526528,0.238591,0.054317,spatula
4.237741,0.284385,0.428109,1.374754,1.722008,0.232385,wrench
3.847411,0.364020,0.515232,0.970796,0.858084,0.036404,wrench
9.120960,0.823501,0.893483,0.899213,0.780042,0.005483,pen
4.593815,0.576381,0.849993,0.555211,0.268332,0.067944,spatula
2.977964,0.568522,0.635970,0.553069,0.239615,0.049203,shovel
1.825204,0.174306,0.313662,0.858869,0.265567,1.349208,tbar
1.876570,0.173330,0.311527,0.912184,0.326583,1.558058,tbar
3.071617,0.538539,0.650057,0.557220,0.241934,0.095718,shovel
4.395420,0.569918,0.853535,0.535620,0.246959,0.065000,spatula
8.533705,0.841766,0.903886,0.818680,0.641968,0.001944,pen
4.250405,0.344406,0.481202,1.125096,1.168631,0.041892,wrench
3.699497,0.403557,0.556092,0.850903,0.654968,0.016390,wrench
8.764375,0.803103,0.905529,0.876508,0.739408,0.014288,pen
4.570194,0.569422,0.838859,0.573347,0.288120,0.075310,spatula
3.218750,0.545273,0.642291,0.600404,0.288407,0.111754,shovel
1.884147,0.168634,0.302503,0.993312,0.427542,1.876302,tbar
1.828699,0.184497,0.321757,0.994820,0.504442,1.460462,tbar
3.131914,0.539996,0.646908,0.582089,0.268491,0.104433,shovel
4.815149,0.595756,0.822710,0.633913,0.360956,0.074365,spatula
8.627119,0.839981,0.908017,0.818383,0.641438,0.001271,pen
4.153417,0.347669,0.484547,1.098118,1.101843,0.048260,wrench
1.637711,0.604188,0.864403,0.205339,0.010213,0.002442,paddle
1.524413,0.609911,0.862106,0.191237,0.005758,0.001422,paddle
1.661710,0.605008,0.862587,0.193652,0.006506,0.001543,paddle
1.529421,0.610249,0.865568,0.193104,0.006391,0.001517,paddle
1.756579,0.595385,0.850174,0.204419,0.009333,0.002532,paddle
1.601881,0.607022,0.861795,0.199016,0.008049,0.001989,paddle
1.696287,0.578214,0.818785,0.219691,0.012522,0.004646,paddle
1.692579,0.588675,0.837344,0.216970,0.012544,0.004035,paddle
1.710892,0.897597,0.989258,0.187875,0.008226,0.000151,sander
1.006663,0.784760,0.994026,0.159171,0.000000,0.000001,donut
1.008969,0.789387,0.993566,0.159191,0.000005,0.000001,donut
1.664697,0.897936,0.976672,0.187349,0.007934,0.000082,sander
1.710565,0.901241,0.990721,0.187327,0.008031,0.000148,sander
1.012821,0.790186,0.990969,0.159188,0.000004,0.000001,donut
1.007092,0.786810,0.990662,0.159182,0.000002,0.000000,donut
1.648453,0.896135,0.981073,0.186629,0.007824,0.000099,sander
1.718992,0.865040,0.982464,0.188075,0.008432,0.000245,sander
1.010996,0.782947,0.992728,0.159238,0.000019,0.000001,donut
1.026962,0.781829,0.987531,0.159596,0.000034,0.000004,donut
1.695684,0.945033,0.991369,0.189097,0.008728,0.000008,sander
1.699869,0.924564,0.989595,0.188627,0.008476,0.000074,sander
1.005917,0.786460,0.990922,0.159183,0.000004,0.000000,donut
1.022599,0.790477,0.991155,0.159232,0.000019,0.000000,donut
1.552648,0.882449,0.977701,0.181798,0.006104,0.000118,sander
