header,poolingSize,filterSize,numFilter,denseNode,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11
1,2,3,32 32,128,0.9234,0.9722,0.9788,0.9824,0.9847,0.9860,0.9874,0.9894,0.9890,0.9909,0.9906,0.9913,0.9810,0.9849,0.9872,0.9885,0.9896,0.9896,0.9903,0.9910,0.9906,0.9908,0.9917,0.9916
2,2,3,32 32,256,0.9294,0.9766,0.9824,0.9860,0.9872,0.9893,0.9904,0.9905,0.9919,0.9924,0.9927,0.9941,0.9814,0.9874,0.9884,0.9909,0.9905,0.9918,0.9918,0.9908,0.9910,0.9919,0.9918,0.9925
3,2,3,32 32,512,0.9386,0.9806,0.9858,0.9883,0.9903,0.9913,0.9920,0.9930,0.9941,0.9946,0.9949,0.9956,0.9856,0.9871,0.9898,0.9915,0.9909,0.9904,0.9921,0.9924,0.9919,0.9921,0.9925,0.9930
4,2,3,32 64,128,0.9233,0.9718,0.9786,0.9825,0.9847,0.9861,0.9878,0.9891,0.9897,0.9904,0.9909,0.9920,0.9827,0.9865,0.9887,0.9891,0.9905,0.9910,0.9906,0.9905,0.9912,0.9922,0.9927,0.9914
5,2,3,32 64,256,0.9401,0.9808,0.9863,0.9883,0.9901,0.9914,0.9928,0.9933,0.9941,0.9949,0.9944,0.9957,0.9857,0.9892,0.9902,0.9898,0.9926,0.9916,0.9918,0.9922,0.9933,0.9915,0.9929,0.9932
6,2,3,32 64,512,0.9478,0.9833,0.9877,0.9901,0.9918,0.9936,0.9942,0.9949,0.9955,0.9958,0.9960,0.9964,0.9860,0.9898,0.9881,0.9908,0.9925,0.9914,0.9907,0.9923,0.9923,0.9924,0.9912,0.9909
7,2,3,32 64,128,0.9250,0.9739,0.9800,0.9842,0.9860,0.9869,0.9891,0.9904,0.9907,0.9912,0.9924,0.9928,0.9822,0.9863,0.9894,0.9910,0.9884,0.9918,0.9914,0.9898,0.9924,0.9930,0.9916,0.9922
8,2,3,32 64,256,0.9403,0.9805,0.9849,0.9881,0.9905,0.9910,0.9921,0.9933,0.9940,0.9948,0.9951,0.9952,0.9863,0.9892,0.9914,0.9912,0.9913,0.9913,0.9916,0.9921,0.9922,0.9922,0.9918,0.9919
9,2,3,32 64,512,0.9482,0.9830,0.9869,0.9906,0.9916,0.9932,0.9941,0.9947,0.9950,0.9960,0.9958,0.9966,0.9856,0.9907,0.9912,0.9911,0.9921,0.9929,0.9915,0.9915,0.9920,0.9918,0.9924,0.9933
10,2,3,64 64,128,0.9302,0.9751,0.9814,0.9844,0.9866,0.9873,0.9896,0.9907,0.9911,0.9917,0.9926,0.9926,0.9821,0.9874,0.9882,0.9911,0.9904,0.9905,0.9925,0.9919,0.9921,0.9922,0.9909,0.9924
11,2,3,64 64,256,0.9423,0.9809,0.9854,0.9888,0.9900,0.9915,0.9920,0.9928,0.9936,0.9945,0.9949,0.9947,0.9848,0.9879,0.9906,0.9905,0.9914,0.9920,0.9912,0.9926,0.9921,0.9933,0.9927,0.9918
12,2,3,64 64,512,0.9496,0.9833,0.9882,0.9904,0.9925,0.9924,0.9939,0.9949,0.9955,0.9956,0.9956,0.9964,0.9861,0.9892,0.9900,0.9914,0.9925,0.9919,0.9923,0.9926,0.9919,0.9931,0.9924,0.9931
