id,creator,type,material,date
0000201,anoniem,kozuka,,
0000202,anoniem,kozuka,geelkoper,
0000203,anoniem,kozuka,goud,
0000204,anoniem,kozuka,ijzer,
0000205,Goto Mitsuyasu,kozuka,shibuichi,
0000206,anoniem,kozuka,shibuichi,
0000207,anoniem,kozuka,koper,
0000208,anoniem,kozuka,suassa,
0000209,anoniem,kozuka,geelkoper,
0000210,Goto Mitsutake,kozuka,suassa,
0000211,anoniem,kozuka,ijzer,
0000212,anoniem,kozuka,goud,
0000213,anoniem,kozuka,suassa,
0000214,Iwamoto Konkan,kozuka,suassa,
0000215,Goto Denjo,kozuka,suassa,
0000216,Shigemitsu,kozuka,suassa,
0000217,anoniem,kozuka,ijzer,
0000218,anoniem,kozuka,email,
0000219,anoniem,kozuka,ijzer,
0000220,Masayuki,kozuka,geelkoper,
0000221,anoniem,kozuka,suassa,
0000222,Orando Hidehiko,kozuka,ijzer,
0000223,anoniem,kozuka,suassa,
0000224,Masayasu,kozuka,sentoku,
0000225,anoniem,kozuka,sentoku,
0000226,Joi,kozuka,roodkoper,
0000227,anoniem,tsuba,ijzer,ca. 1600 - ca. 1699
0000228,Ito Masatsune,tsuba,ijzer,1650 -  1750
0000229,anoniem,tsuba,suassa,1750 -  1850
0000230,anoniem,tsuba,ijzer,
0000231,Masatomo,tsuba,ijzer,
0000232,anoniem,tsuba,ijzer,1600 -  1699
0000233,Tsunenaka,tsuba,ijzer,1800 -  1900
0000234,anoniem,tsuba,ijzer,1600 -  1699
0000235,anoniem,tsuba,ijzer,1550 -  1650
0000236,anoniem,tsuba,ijzer,1700 -  1800
0000237,anoniem,tsuba,ijzer,1775 -  1825
0000238,Kaneyoshi,tsuba,ijzer,1600 -  1699
0000239,anoniem,tsuba,ijzer,1550 -  1700
0000240,anoniem,tsuba,ijzer,1600 -  1699
0000241,anoniem,tsuba,ijzer,1600 -  1699
0000242,anoniem,tsuba,ijzer,1600 -  1699
0000243,Mitsuhiro (II),tsuba,ijzer,1800 -  1850
0000244,Yukinaga,tsuba,ijzer,1700 -  1800
0000245,Tomokane,tsuba,ijzer,1800 -  1825
0000246,Umetada,tsuba,ijzer,1600 -  1800
0000247,anoniem,tsuba,ijzer,
0000248,anoniem,tsuba,ijzer,1600 -  1699
0000249,Masanori,tsuba,ijzer,1700 -  1800
0000250,anoniem,tsuba,ijzer,1600 -  1699
0000251,anoniem,tsuba,ijzer,
0000252,Hiroyasu,tsuba,suassa,1800 -  1850
0000253,anoniem,tsuba,ijzer,1550 -  1700
0000254,Katsumi Kansai,tsuba,ijzer,1800 -  1900
0000255,Ishiguro Masatsune,tsuba,ijzer,1825 -  1875
0000256,Toshinaga,tsuba,ijzer,1700 -  1800
0000257,anoniem,tsuba,ijzer,1600 -  1725
0000258,anoniem,tsuba,ijzer,
0000259,Nukagawa Yasunori,tsuba,shibuichi,1725 -  1825
0000260,anoniem,tsuba,ijzer,
0000261,Sunagawa Masayoshi,tsuba,ijzer,1750 -  1800
0000262,Shoami Ietake,tsuba,ijzer,1600 -  1699
0000263,anoniem,tsuba,ijzer,
0000264,Komeisai Chokuzui,tsuba,ijzer,1700 -  1800
0000265,anoniem,tsuba,ijzer,1700 -  1800
0000266,anoniem,tsuba,ijzer,1600 -  1699
0000267,anoniem,tsuba,ijzer,
0000268,anoniem,tsuba,messing,
0000269,Yasuchika,tsuba,koper,1700 -  1900
0000270,Okada Masatoyo,tsuba,ijzer,1800 -  1850
0000271,anoniem,tsuba,ijzer,1600 -  1699
0000272,anoniem,tsuba,suassa,1750 -  1850
0000273,anoniem,tsuba,ijzer,1700 -  1900
0000274,Goto Mitsuyoshi,tsuba,zilver,1800 -  1830
0000275,anoniem,tsuba,ijzer,1600 -  1699
0000276,anoniem,tsuba,ijzer,1600 -  1699
