id,creator0,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,type0,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14,material0,material1,material2,material3,material4,material5,material6,material7,material8,material9,material10,material11,material12,material13,material14,material15,material16,material17,material18,material19,material20,material21,material22,material23,material24,material25,material26,material27,material28,date0,date1,date2
0000614,anoniem,,,,,,,,,,,,waaier,,,,,,,,,,,,,,,bamboe,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000427,Mennicken Jan Baldems,,,,,,,,,,,,kan,kruik,,,,,,,,,,,,,,steengoed,glazuur,tin,,,,,,,,,,,,,,,,,,,,,,,,,,,1599 -  1599,,
0000072,anoniem,,,,,,,,,,,,beeldhouwwerk,graffiguur,,,,,,,,,,,,,,aardewerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650 -  750,,
0000999,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,porselein,glazuur,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1720,,
0000444,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1550 - ca. 1600,,
0000335,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000373,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279 -  1368,,
0000346,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000519,anoniem,,,,,,,,,,,,doos,wierookdoos,kogo,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000695,Oppenort Gilles Marie,,,,,,,,,,,,tekening,ontwerp,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682 -  1742,,
0000038,Boucher François,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726 -  1746,,
0000854,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Manjushri,,,,,,,,,,,,,brons,zilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1000 - ca. 1100,,
0000138,Lavallée-Poussin Etienne de,anoniem,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762 -  1777,,
0000303,Kawamura Tsuneshige,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,koper,goud,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725 -  1775,,
0000825,anoniem,,,,,,,,,,,,wijnkan,,,,,,,,,,,,,,,porselein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1550 - ca. 1600,,
0000658,anoniem,,,,,,,,,,,,spiegel,,,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1100 - ca. 1185,,
0000466,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1800,,
0000107,Cochin Charles Nicolas (II),,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725 -  1790,,
0000234,anoniem,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000135,Lavallée-Poussin Etienne de,,,,,,,,,,,,tekening,,,,,,,,,,,,,,,papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762 -  1777,,
0000805,anoniem,,,,,,,,,,,,spaarvarken,fragment,,,,,,,,,,,,,,terracotta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1300 - ca. 1500,,
0000015,,,,,,,,,,,,,ritueel object,ceremonieel wapen,,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1400 -  -1000,,
0000179,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Avalokitesvara,,,,,,,,,,,,,brons,verguldsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,581 -  618,,
0000277,anoniem,,,,,,,,,,,,tsuba,,,,,,,,,,,,,,,ijzer,messing,roodkoper,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000445,Yaheita (Yaheiji ?),,,,,,,,,,,,vaas,,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675 -  1700,,
0000849,anoniem,,,,,,,,,,,,kapmes,,,,,,,,,,,,,,,staal,ivoor,brons,verguldsel,edelsteen,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1500 - ca. 1700,,
0000325,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000385,anoniem,,,,,,,,,,,,vaas,,,,,,,,,,,,,,,porselein,glazuur,goudlak,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1700 - ca. 1720,,
0000954,anoniem,,,,,,,,,,,,dekselvaas,,,,,,,,,,,,,,,porselein,glazuur,verfstof,,,,,,,,,,,,,,,,,,,,,,,,,,,ca. 1645 - ca. 1660,,
0000479,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000951,anoniem,,,,,,,,,,,,pot,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575 -  1600,,
0000318,anoniem,,,,,,,,,,,,kom,theekom,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000850,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Boeddha-beeld,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 -  1100,,
0000610,anoniem,,,,,,,,,,,,inro,,,,,,,,,,,,,,,hout,lak,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000870,anoniem,,,,,,,,,,,,fles,,,,,,,,,,,,,,,aardewerk,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 -  1300,,
0000086,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,muzikant,,,,,,,,,,,,,hout,verfstof,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 -  1800,,
0000181,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,Avalokitesvara,,,,,,,,,,,,,brons,verguldsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,650 -  700,,
0000416,anoniem,,,,,,,,,,,,doos,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 -  1600,,
0000363,anoniem,,,,,,,,,,,,kom,,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,960 -  1279,,
0000384,anoniem,,,,,,,,,,,,beeldhouwwerk,dierfiguur,,,,,,,,,,,,,,porselein,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662 -  1722,,
0000655,anoniem,,,,,,,,,,,,beeldhouwwerk,masker,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 -  1699,,
0000775,anoniem,,,,,,,,,,,,beeldhouwwerk,beeldengroep,,,,,,,,,,,,,,brons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 -  850,,
0000662,anoniem,,,,,,,,,,,,schildering,,,,,,,,,,,,,,,papier,inkt,verfstof,,,,,,,,,,,,,,,,,,,,,,,,,,,1575 -  1600,,
0000652,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 -  1500,,
0000486,anoniem,,,,,,,,,,,,chaire,stoftheebus,,,,,,,,,,,,,,steengoed,glazuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000596,Hidemasa,,,,,,,,,,,,netsuke,,,,,,,,,,,,,,,hout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 -  1825,,
0000192,anoniem,,,,,,,,,,,,beeldhouwwerk,beeld,,,,,,,,,,,,,,steen (materiaal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 -  1100,,
